algorithm	n	time
insertion	10	0.000001
merge	10	0.000003
heap	10	0.000001
quick	10	0.000000
insertion	25	0.000002
merge	25	0.000006
heap	25	0.000001
quick	25	0.000001
insertion	75	0.000003
merge	75	0.000018
heap	75	0.000004
quick	75	0.000004
insertion	100	0.000004
merge	100	0.000026
heap	100	0.000007
quick	100	0.000005
insertion	250	0.000012
merge	250	0.000036
heap	250	0.000013
quick	250	0.000011
insertion	500	0.000040
merge	500	0.000072
heap	500	0.000029
quick	500	0.000025
insertion	750	0.000085
merge	750	0.000108
heap	750	0.000043
quick	750	0.000036
insertion	1000	0.000142
merge	1000	0.000149
heap	1000	0.000056
quick	1000	0.000052
insertion	2500	0.000855
merge	2500	0.000376
heap	2500	0.000208
quick	2500	0.000139
insertion	5000	0.003167
merge	5000	0.000669
heap	5000	0.000402
quick	5000	0.000272
insertion	7500	0.006208
merge	7500	0.000917
heap	7500	0.000542
quick	7500	0.000386
insertion	10000	0.009960
merge	10000	0.001109
heap	10000	0.000733
quick	10000	0.000468
insertion	25000	0.051047
merge	25000	0.002462
heap	25000	0.001728
quick	25000	0.001087
insertion	50000	0.215950
merge	50000	0.004913
heap	50000	0.003630
quick	50000	0.002291
insertion	75000	0.516980
merge	75000	0.007655
heap	75000	0.005565
quick	75000	0.003602
insertion	100000	0.951344
merge	100000	0.009855
heap	100000	0.008111
quick	100000	0.004769
insertion	250000	6.305493
merge	250000	0.025379
heap	250000	0.023494
quick	250000	0.013465
insertion	500000	25.350901
merge	500000	0.051405
heap	500000	0.052656
quick	500000	0.027349
