algorithm	n	time
insertion	10	0.000006
merge	10	0.000019
heap	10	0.000016
quick	10	0.000009
insertion	25	0.000015
merge	25	0.000037
heap	25	0.000038
quick	25	0.000013
insertion	75	0.000126
merge	75	0.000138
heap	75	0.000152
quick	75	0.000050
insertion	100	0.000214
merge	100	0.000186
heap	100	0.000228
quick	100	0.000072
insertion	250	0.001240
merge	250	0.000582
heap	250	0.000671
quick	250	0.000252
insertion	500	0.005791
merge	500	0.001198
heap	500	0.001396
quick	500	0.000527
insertion	750	0.012341
merge	750	0.001687
heap	750	0.002098
quick	750	0.000886
insertion	1000	0.021251
merge	1000	0.002334
heap	1000	0.003130
quick	1000	0.001190
insertion	2500	0.189840
merge	2500	0.006653
heap	2500	0.009125
quick	2500	0.003456
insertion	5000	0.580846
merge	5000	0.014107
heap	5000	0.018914
quick	5000	0.007335
insertion	7500	1.277122
merge	7500	0.022557
heap	7500	0.029852
quick	7500	0.011116
insertion	10000	2.383169
merge	10000	0.030851
heap	10000	0.042022
quick	10000	0.016366
insertion	25000	14.083878
merge	25000	0.083011
heap	25000	0.116445
quick	25000	0.043345
insertion	50000	57.025808
merge	50000	0.177945
heap	50000	0.242094
quick	50000	0.095368
insertion	75000	131.622818
merge	75000	0.272096
heap	75000	0.385862
quick	75000	0.158375
insertion	100000	240.931502
merge	100000	0.370043
heap	100000	0.529490
quick	100000	0.199384
insertion	250000	1478.384722
merge	250000	1.003289
heap	250000	1.439496
quick	250000	0.556551
insertion	500000	6462.849235
merge	500000	2.116061
heap	500000	3.111305
quick	500000	1.113516
